idx,Pred
idx_0,1141.0
idx_1,1141.0
idx_2,1141.0
idx_3,1141.0
idx_4,1141.0
idx_5,1141.0
idx_6,1206.0
idx_7,1206.0
idx_8,1206.0
idx_9,1206.0
idx_10,1206.0
idx_11,1206.0
idx_12,1206.0
idx_13,1206.0
idx_14,1206.0
idx_15,1206.0
idx_16,1206.0
idx_17,1206.0
idx_18,1206.0
idx_19,1206.0
idx_20,1206.0
idx_21,1206.0
idx_22,1206.0
idx_23,1206.0
idx_24,1206.0
idx_25,1141.0
idx_26,1206.0
idx_27,1141.0
idx_28,1206.0
idx_29,1141.0
idx_30,1206.0
idx_31,1141.0
idx_32,1206.0
idx_33,1141.0
idx_34,1206.0
idx_35,1141.0
idx_36,1141.0
idx_37,1206.0
idx_38,1206.0
idx_39,1206.0
idx_40,1206.0
idx_41,1206.0
idx_42,1206.0
idx_43,1206.0
idx_44,1206.0
idx_45,1206.0
idx_46,1206.0
idx_47,1206.0
idx_48,1206.0
idx_49,1206.0
idx_50,1141.0
idx_51,1206.0
idx_52,1206.0
idx_53,1141.0
idx_54,1141.0
idx_55,1206.0
idx_56,1141.0
idx_57,1141.0
idx_58,1141.0
idx_59,1141.0
idx_60,1206.0
idx_61,1141.0
idx_62,1206.0
idx_63,1206.0
idx_64,1206.0
idx_65,1206.0
idx_66,1206.0
idx_67,1206.0
idx_68,1206.0
idx_69,1206.0
idx_70,1206.0
idx_71,1206.0
idx_72,1206.0
idx_73,1141.0
idx_74,1141.0
idx_75,1141.0
idx_76,1141.0
idx_77,1141.0
idx_78,1141.0
idx_79,1141.0
idx_80,1141.0
idx_81,1141.0
idx_82,1206.0
idx_83,1141.0
idx_84,1141.0
idx_85,1141.0
idx_86,1141.0
idx_87,1141.0
idx_88,1141.0
idx_89,1141.0
idx_90,1141.0
idx_91,1141.0
idx_92,1141.0
idx_93,1141.0
idx_94,1141.0
idx_95,1206.0
idx_96,1206.0
idx_97,1206.0
idx_98,1206.0
idx_99,1206.0
idx_100,1206.0
idx_101,1206.0
idx_102,1206.0
idx_103,1206.0
idx_104,1206.0
idx_105,1206.0
idx_106,1206.0
idx_107,1141.0
idx_108,1206.0
idx_109,1206.0
idx_110,1141.0
idx_111,1206.0
idx_112,1206.0
idx_113,1206.0
idx_114,1206.0
idx_115,1141.0
idx_116,1206.0
idx_117,1141.0
idx_118,1206.0
idx_119,1141.0
idx_120,1206.0
idx_121,1206.0
idx_122,1141.0
idx_123,1141.0
idx_124,1206.0
idx_125,1141.0
idx_126,1206.0
idx_127,1141.0
idx_128,1206.0
idx_129,1206.0
idx_130,1206.0
idx_131,1206.0
idx_132,1141.0
idx_133,1206.0
idx_134,1141.0
idx_135,1206.0
idx_136,1206.0
idx_137,1141.0
idx_138,1206.0
idx_139,1141.0
idx_140,1206.0
idx_141,1141.0
idx_142,1141.0
idx_143,1206.0
idx_144,1141.0
idx_145,1206.0
idx_146,1141.0
idx_147,1206.0
idx_148,1206.0
idx_149,1206.0
idx_150,1206.0
idx_151,1141.0
idx_152,1141.0
idx_153,1141.0
idx_154,1206.0
idx_155,1206.0
idx_156,1206.0
idx_157,1206.0
idx_158,1206.0
idx_159,1206.0
idx_160,1206.0
idx_161,1206.0
idx_162,1206.0
idx_163,1206.0
idx_164,1206.0
idx_165,1206.0
idx_166,1206.0
idx_167,1206.0
idx_168,1206.0
idx_169,1206.0
idx_170,1206.0
idx_171,1206.0
idx_172,1206.0
idx_173,1206.0
idx_174,1206.0
idx_175,1206.0
idx_176,1206.0
idx_177,1206.0
idx_178,1206.0
idx_179,1206.0
idx_180,1206.0
idx_181,1206.0
idx_182,1206.0
idx_183,1206.0
idx_184,1206.0
idx_185,1206.0
idx_186,1206.0
idx_187,1206.0
idx_188,1206.0
idx_189,1206.0
idx_190,1206.0
idx_191,1206.0
idx_192,1206.0
idx_193,1206.0
idx_194,1206.0
idx_195,1206.0
idx_196,1206.0
idx_197,1206.0
idx_198,1206.0
idx_199,1206.0
idx_200,1206.0
idx_201,1206.0
idx_202,1206.0
idx_203,1206.0
idx_204,1206.0
idx_205,1206.0
idx_206,1206.0
idx_207,1206.0
idx_208,1206.0
idx_209,1206.0
idx_210,1206.0
idx_211,1206.0
idx_212,1206.0
idx_213,1206.0
idx_214,1206.0
idx_215,1141.0
idx_216,1206.0
idx_217,1206.0
idx_218,1206.0
idx_219,1206.0
idx_220,1206.0
idx_221,1206.0
idx_222,1206.0
idx_223,1206.0
idx_224,1206.0
idx_225,1206.0
idx_226,1206.0
idx_227,1206.0
idx_228,1206.0
idx_229,1206.0
idx_230,1141.0
idx_231,1206.0
idx_232,1206.0
idx_233,1206.0
idx_234,1206.0
idx_235,1206.0
idx_236,1206.0
idx_237,1206.0
idx_238,1206.0
idx_239,1206.0
idx_240,1206.0
idx_241,1206.0
idx_242,1206.0
idx_243,1206.0
idx_244,1206.0
idx_245,1206.0
idx_246,1141.0
idx_247,1206.0
idx_248,1206.0
idx_249,1206.0
idx_250,1206.0
idx_251,1206.0
idx_252,1206.0
